ds_id,range_min,range_max
2024-01-05_03h28m42s,216.814633,1199.731567
2024-01-05_03h30m38s,204.2346,1199.720832
2024-01-05_03h27m19s,224.524652,1199.838926
2024-01-05_03h27m54s,224.524652,1199.720832
2023-12-31_02h30m14s,59.000606536865234,699.5032958984375
2023-12-31_02h30m46s,70.00182342529297,998.049072265625
2023-12-30_21h54m45s,59.00062942504883,699.5028686523438
2023-12-19_16h58m52s,70.00080871582031,699.50146484375
2023-12-19_19h05m40s,70.0000991821289,499.93560791015625
2023-12-19_19h06m09s,70.00789642333984,499.458984375
2023-12-19_19h04m45s,70.00384521484375,499.2847900390625
2023-12-19_19h06m50s,70.00028228759766,499.6375732421875
2023-12-14_20h13m46s,246.529385,1199.469364
2023-12-14_20h13m39s,248.169846,1199.493113
2023-12-14_20h12m42s,246.529385,1199.493113
2023-12-14_20h13m12s,248.169846,1199.47728
2023-12-14_20h13m03s,247.180539,1199.659388
2023-12-14_20h13m29s,246.52905,1199.50103
2023-12-14_03h07m05s,248.169905,1199.492057
2023-12-14_03h06m22s,246.529061,1199.506564
2023-12-14_03h05m48s,246.529367,1199.506564
2023-12-14_03h04m20s,247.762911,1199.506564
